frase,categoria,sentimento
Meu gestor está sempre disponível para ajudar,lideranca,bom
"No meu dia a dia, sinto que posso ser eu mesmo no trabalho",seguranca_psicologica,bom
"Recentemente, sinto falta de orientação da minha chefia",lideranca,ruim
"Ultimamente, meu nível de estresse está sob controle",bem_estar,bom
"Sinceramente, não consigo desconectar do trabalho nunca",bem_estar,ruim
Tenho tempo suficiente para fazer um bom trabalho,carga_trabalho,bom
"Ultimamente, meu volume de tarefas está fora de controle",carga_trabalho,ruim
"No meu dia a dia, meu esforço nunca é reconhecido",reconhecimento,ruim
"Ao longo do tempo, posso admitir um erro sem medo de punição",seguranca_psicologica,bom
"No meu dia a dia, sinto que meu esforço é notado pela gestão",reconhecimento,bom
"Ultimamente, nunca ouvi comentário impróprio no ambiente",assedio,bom
"No geral, não consigo organizar minhas entregas da semana",carga_trabalho,ruim
"No meu dia a dia, as relações no trabalho são sempre profissionais",assedio,bom
"No geral, sinto que a chefia não está do meu lado",lideranca,ruim
Sinto apoio genuíno da minha chefia direta,lideranca,bom
"Ultimamente, meu volume de tarefas é administrável",carga_trabalho,bom
"Sinceramente, as relações no trabalho são sempre profissionais",assedio,bom
"No meu dia a dia, já vi alguém sendo tratado de forma abusiva aqui",assedio,ruim
Não consigo desconectar do trabalho nunca,bem_estar,ruim
"No meu dia a dia, nunca recebo elogio nem feedback positivo",reconhecimento,ruim
Não me sinto seguro em relação a esse tema,assedio,ruim
Estou constantemente cansado e sem energia,bem_estar,ruim
Falta comunicação entre os setores,comunicacao,ruim
"Para ser honesto, já vi alguém sendo tratado de forma abusiva aqui",assedio,ruim
"No meu dia a dia, meu gestor me dá autonomia com responsabilidade",lideranca,bom
"No geral, meu volume de tarefas é administrável",carga_trabalho,bom
"Ultimamente, meu trabalho é valorizado pela empresa",reconhecimento,bom
"De forma geral, já fui elogiado publicamente pelo meu trabalho",reconhecimento,bom
Sinto que meu esforço não vale a pena aqui,reconhecimento,ruim
"De forma geral, meu bem-estar tem piorado bastante ultimamente",bem_estar,ruim
Consigo terminar minhas tarefas dentro do horário normal,carga_trabalho,bom
"Na minha experiência, nunca presenciei nem sofri assédio no ambiente de trabalho",assedio,bom
"Para ser honesto, trabalho muito e não sou valorizado por isso",reconhecimento,ruim
"Na minha experiência, fico sabendo de mudanças importantes de última hora",comunicacao,ruim
"No meu dia a dia, sinto que preciso me policiar o tempo todo",seguranca_psicologica,ruim
"Sinceramente, sinto que nunca tenho tempo suficiente",carga_trabalho,ruim
"Ao longo do tempo, as reuniões são objetivas e produtivas",comunicacao,bom
"No meu dia a dia, minha liderança é ausente no dia a dia",lideranca,ruim
"No meu dia a dia, as prioridades são bem explicadas pela gestão",comunicacao,bom
"No meu dia a dia, trabalho até tarde quase todos os dias",carga_trabalho,ruim
"Recentemente, meus colegas reconhecem minhas contribuições",reconhecimento,bom
"Recentemente, as demandas são razoáveis para o meu cargo",carga_trabalho,bom
"Na minha experiência, consigo manter equilíbrio entre vida pessoal e trabalho",bem_estar,bom
"No meu dia a dia, tenho medo de expressar minha opinião no trabalho",seguranca_psicologica,ruim
Já me senti desrespeitado por um colega ou chefe,assedio,ruim
"Ao longo do tempo, fico sabendo de mudanças importantes de última hora",comunicacao,ruim
"Ao longo do tempo, meu bem-estar tem piorado bastante ultimamente",bem_estar,ruim
"Na minha experiência, sei exatamente o que é esperado de mim",comunicacao,bom
"Para ser honesto, sinto que meu trabalho é invisível para a empresa",reconhecimento,ruim
"Na minha experiência, posso admitir um erro sem medo de punição",seguranca_psicologica,bom
"Sinceramente, meu trabalho é valorizado pela empresa",reconhecimento,bom
As reuniões são objetivas e produtivas,comunicacao,bom
"De forma geral, meu gestor está sempre disponível para ajudar",lideranca,bom
Me sinto seguro em relação a esse tema aqui,assedio,bom
"Para ser honesto, as demandas são impossíveis de cumprir no prazo",carga_trabalho,ruim
Não consigo descansar nem nos fins de semana,bem_estar,ruim
"Ultimamente, as prioridades são bem explicadas pela gestão",comunicacao,bom
Sou informado sobre mudanças com antecedência,comunicacao,bom
Fico sabendo de mudanças importantes de última hora,comunicacao,ruim
"Na minha experiência, nunca sei o que está acontecendo na empresa",comunicacao,ruim
Já vi alguém sendo tratado de forma abusiva aqui,assedio,ruim
"Sinceramente, trabalho até tarde quase todos os dias",carga_trabalho,ruim
"Sinceramente, sinto que meu trabalho é invisível para a empresa",reconhecimento,ruim
"Para ser honesto, não me sinto seguro para levantar um problema",seguranca_psicologica,ruim
"No geral, tenho dormido mal por causa do trabalho",bem_estar,ruim
"Para ser honesto, sinto que meu esforço é notado pela gestão",reconhecimento,bom
"No geral, durmo bem e não penso no trabalho fora do horário",bem_estar,bom
"Na minha experiência, minha liderança reconhece o esforço da equipe",lideranca,bom
As informações chegam claras até mim,comunicacao,bom
Existem comentários impróprios que me incomodam,assedio,ruim
"Para ser honesto, sou recompensado de forma justa pelos resultados",reconhecimento,bom
"Na minha experiência, sinto ansiedade só de pensar em vir trabalhar",bem_estar,ruim
"Na minha experiência, sinto que não faço diferença nenhuma aqui",reconhecimento,ruim
"Ao longo do tempo, sinto orgulho de como minha entrega é vista aqui",reconhecimento,bom
"Ultimamente, recebo orientação clara do meu chefe",lideranca,bom
"Na minha experiência, tenho medo de expressar minha opinião no trabalho",seguranca_psicologica,ruim
"Ao longo do tempo, erros são punidos duramente por aqui",seguranca_psicologica,ruim
"Ultimamente, não preciso levar trabalho para casa",carga_trabalho,bom
Durmo bem e não penso no trabalho fora do horário,bem_estar,bom
"Ultimamente, sinto que a chefia não está do meu lado",lideranca,ruim
"De forma geral, nunca presenciei nem sofri assédio no ambiente de trabalho",assedio,bom
"Na minha experiência, não consigo descansar nem nos fins de semana",bem_estar,ruim
"No geral, erros são punidos duramente por aqui",seguranca_psicologica,ruim
"Recentemente, tenho tempo suficiente para fazer um bom trabalho",carga_trabalho,bom
"Ultimamente, me sinto disposto na maior parte dos dias",bem_estar,bom
Tenho pausas suficientes durante o dia,bem_estar,bom
"Na minha experiência, as relações no trabalho são sempre profissionais",assedio,bom
"De forma geral, o ambiente é respeitoso entre todos os colegas",assedio,bom
"Sinceramente, meu nível de estresse está fora de controle",bem_estar,ruim
Meu gestor não me dá suporte nenhum,lideranca,ruim
